title,imageUrl,lowScore,highScore,review,color,set,rarity,instant,removal
Aether Tunnel,http://crystalcommerce-assets.s3.amazonaws.com/photos/6452713/large/636652759131597196.png?1529685826,2.5,,"This is an neat finisher for aggressive blue decks-it basically guarantees one hit, and if it isn't answered it clocks the opponent quickly. I'm glad it's an uncommon, as the joke would get old at common. Not every deck will want this, but those that do will take it as if it were a 3.0 or 3.5-it's situational but quite powerful.",blue,m19,uncommon,,
Anticipate,http://crystalcommerce-assets.s3.amazonaws.com/photos/6438967/large/Anticipate.jpg?1525712265,2,,"Like Opt, this is the kind of card that will often end up on the chopping block because it doesn't do anything. It's a good way to spend turn 2 in a deck without low drops, and it smooths out your draws, but you won't always have space for it. Unlike Opt in Dominaria, there isn't a heavy spells-matter component, which is why Opt ended up being much stronger in that format. I anticipate playing this most of the time.",blue,m19,common,instant,
Aven Wind Mage,http://crystalcommerce-assets.s3.amazonaws.com/photos/6451546/large/en_CiEejh8fqA.png?1529516009,3,,"Of course, the next card I talk about cares about spells, but this really isn't a major theme of the set. The Wind Mage is a solid card, and demonstrates its prowess best in an aggressive deck. A 2/2 flyer for 3 is a good enough deal that you don't really need spells to justify playing this, though it becomes awesome in a spell-heavy deck.",blue,m19,common,,
Aviation Pioneer,http://crystalcommerce-assets.s3.amazonaws.com/photos/6452528/large/636652759602236407.png?1529698331,3,,"This is a solid little common. It gets better in artifact-matters decks, but is totally acceptable to just put in your deck regardless of what else you have going on. Two bodies, one of which flies, is a great deal for 3 mana, and I'm going to be happy casting a lot of these. It combos with bounce, ways to get creatures back, and even edges into the sacrifice theme that red has going on.",blue,m19,common,,
Bone to Ash,http://crystalcommerce-assets.s3.amazonaws.com/photos/6452706/large/636652749239773717.png?1529685814,1.5,,"I'm going to start at 1.5 for this because it is a 4 mana situational counterspell. Leaving this up on turns 4-6 and having the opponent tap out for a noncreature spell can lose you the game on the spot, and if the format is fast, you often won't have the luxury of leaving it up to begin with. That said, it's powerful in a slow format or in slow matchups, and it definitely will have a place. I'm cool on this to start, but I have my eye on it-Bone to Ash could easily end up being a solid main deck card. I also like the card in Sealed, so you should main deck it there.",blue,m19,uncommon,instant,
Cancel,http://crystalcommerce-assets.s3.amazonaws.com/photos/6438968/large/Cancel.jpg?1525712289,1.5,,"I'm less high on Cancel because the payoff isn't there. Paying 3 mana to trade 1-for-1 isn't a huge upside, and the risk of the opponent not playing into this or playing something mediocre is a big one. The slower the format, the better this gets, but it's never been amazing and it's been printed 50 times.",blue,m19,common,instant,
Departed Deckhand,http://crystalcommerce-assets.s3.amazonaws.com/photos/6452535/large/636651907672618046.png?1529698338,3.5,,"A nearly unblockable 2/2 for 2 is fantastic, and this even has the ability to make other creatures unblockable. It does die to a stiff breeze, but most spells that target will have killed this anyway, so I don't see that as a huge drawback. This is great early as a clock, and great late as a way to get a ton of damage in out of nowhere. The only thing I don't like is that it makes me keep track of which creatures are Spirits, even in games where that doesn't seem like it is a relevant piece of information.",blue,m19,uncommon,,
Disperse,http://crystalcommerce-assets.s3.amazonaws.com/photos/6438969/large/636611038379007729.jpg?1525711173,1.5,,"The fewer ways your deck has to interact, the better this becomes. It's marginal in a deck with 3+ removal spells, but necessary in one with none. Being down a card isn't great, but this does fight Auras, combat tricks, and can help push through damage if your deck is fast enough.",blue,m19,common,instant,removal
Divination,http://crystalcommerce-assets.s3.amazonaws.com/photos/6451547/large/en_fRTr72TezT.png?1529516014,3,,"I'm not in the business of cutting Divination from my Draft decks. This smooths out your draws, puts you up a card, and is cheap enough that it fits in almost any deck. If you are very aggressive, you can cut this, but otherwise you really shouldn't (and I'm not only saying that because I'm somewhat fond of the card).",blue,m19,common,,
Djinn of Wishes,http://crystalcommerce-assets.s3.amazonaws.com/photos/6452628/large/636651897476543489.png?1529596161,4.5,,"Djinn of Wishes is one of my all-time favorite cards, mostly because the flavor captures three wishes so well. You are getting 3 cards, even if they aren't exactly what you asked for, and that's on top of a 4/4 flyer for 5. I hope you wish for something good, but even if you miss, you'll probably be OK.",blue,m19,rare,,
